japan,romaji,chinese
歌,uta,歌，歌曲
カラオケ,karaoke,卡拉OK
ロック,rokku,摇滚乐
ポップス,poppusu,流行音乐
クラシック,kurashikku,西方古典音乐
ピアノ,piano,钢琴
絵,e,画儿
英語,eigo,英语
スペイン語,supeingo,西班牙语
スポーツ,supootsu,体育，运动
水泳,suiei,游泳
ゴルフ,golfu,高尔夫球
運転,untens,开车
飲み物,nomimono,饮料
お酒,osake,酒，酒类
肉,niku,肉
野菜,yasai,蔬菜
果物,kudamono,水果
ヒマワリ,himawari,向日葵
薔薇,bara,蔷薇，玫瑰
コンピュータ,konpyuutaa,计算机，电脑
窓,mado,窗，窗户
結婚式,kekkon shiki,结婚典礼
写真展,shashinten,摄影展
旅館,ryokan,旅馆，旅店
別荘,bessou,别墅
寄木細工,yose zaiku,木片儿拼花工艺品
模様,moyou,花纹，图案
外国,gaikoku,外国
会議,kaigi,会议
脚,ashi,腿
ぼく,boku,我（男性自称）
分かります,wakarimasu,懂，明白
迷います,mayoimasu,犹豫，难以决定
できます,dekimasu,会；能；完成
閉めます,shimemasu,关闭，关门
疲れます,tsukaremazu,疲倦，疲惫
散歩します,sanposhimasu,散步
怖い,kowai,害怕，恐怖
赤い,akai,红
痛い,itai,疼，疼痛
上手,jouzu,擅长，高明，水平高
下手,heta,不高明，水平低
苦手,nigate,不擅长，不善于
時々,tokidoki,有时，时不时
ぼく,boku,我（男性自称）
たまに,tamani,偶尔，很少
また,mata,还，再，又
どうして,doushite,为什么
だから/ですから,dakara/desu kara,所以，因此
うーん,uun,嗯……，这个……
結構です,kekkou desu,不用，不要
気に入ります,kini iri masu,喜欢，中意
など,nado,等等
